what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105566915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1460105567236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1460105567871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460105568253
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105572188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105574109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105580492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105584466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105588351
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105588467
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105588554
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105590149
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105592979
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105593006
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105593966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460105611208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460105628732
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105636175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105656341
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105658129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460105658201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105658229
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105658276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105662918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105665439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105669702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105680080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105683349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105685123
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105685228
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105685298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1460105685626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1460105686194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460105686605
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105688434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105690272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1460105696146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105700060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105704609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105708709
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105708817
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105708903
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105712156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105718006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105721343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105723492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105728657
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105728755
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105728831
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1460105732447
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1460105732510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1460105732901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460105738303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105740688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105740927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105743317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105752375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1460105758017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460105758406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105762438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105762616
