what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941203094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941206814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459941209611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459941210510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941211938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941213048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941214145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941217576
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1459941221363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459941221877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459941222106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941226230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941226364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459941227086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941228738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941231027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941232929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941233759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459941234705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459941237862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941239547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941240434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459941241558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941243354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941244179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941247407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941248903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941251852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941254070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941261219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941262131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941266612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941267686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459941269073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941272287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941274779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459941277690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941283186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941322526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459941329207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459941358803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459941369224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941375162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941387296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941394487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459941398357
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1459941401536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459941407249
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1459941408246
